countedcars,appprocesstime,average_speed
5120,7,43
23000,21,39.8573913
8360,8,43
10040,9,42.71314741
18040,22,41.23946785
14480,10,42.2320442
17600,11,41.20681818
8520,1,42
16720,23,43.01913876
21880,12,40.44424132
26760,13,36.92376682
26320,14,35.37082067
13960,0,42.61604585
4840,2,42
9560,1,43
5360,2,43
3480,3,43
2400,4,43
1960,5,43
4080,6,43
11640,7,42.74914089
33960,8,38.68080094
38720,9,20.18078512
32480,10,13.46428571
33080,11,30.12575574
30000,12,33.44666667
30280,13,33.49009247
31680,14,34.56313131
35640,15,27.02581369
32440,16,31.07891492
30240,17,33.27116402
30040,18,31.99467377
29720,19,20.93674293
32160,20,24.07960199
31120,21,25.07583548
